File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF681MRC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DMZ	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										POLR2A-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF061MGX/, /files/ENCFF356LFX/, /files/ENCFF816DKP/, /files/ENCFF641ZJE/	329184	ENCODE Processing Pipeline	5e81c6a0456a95d3983e57a2da3944b0		https://www.encodeproject.org/files/ENCFF681MRC/@@download/ENCFF681MRC.bed.gz				released	s3://encode-public/2020/12/27/d1850cfa-8fcb-4477-ab48-8bda443fc058/ENCFF681MRC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/d1850cfa-8fcb-4477-ab48-8bda443fc058/ENCFF681MRC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking		
ENCFF681FKP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR979DMN	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0001150	body of pancreas	tissue	Homo sapiens										POLR2A-human	DNA						2016-12-13	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF488NOC/, /files/ENCFF105NPF/	283701	ENCODE Processing Pipeline	b411a481d58aa06a1277b9ec1d4bf4dd		https://www.encodeproject.org/files/ENCFF681FKP/@@download/ENCFF681FKP.bed.gz				released	s3://encode-public/2020/11/30/6acfa634-b755-4b1b-a929-fb8db05fd197/ENCFF681FKP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/30/6acfa634-b755-4b1b-a929-fb8db05fd197/ENCFF681FKP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF448ZOJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EFK	TF ChIP-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens										POLR2A-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF065VLO/, /files/ENCFF740GRA/, /files/ENCFF413PMY/, /files/ENCFF143IJT/, /files/ENCFF356LFX/	492251	ENCODE Processing Pipeline	c9e0c637a246785eaa3287012d4dd9b3		https://www.encodeproject.org/files/ENCFF448ZOJ/@@download/ENCFF448ZOJ.bed.gz				released	s3://encode-public/2020/12/27/52e6107f-7006-4d55-b85e-e2bf1f666549/ENCFF448ZOJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/52e6107f-7006-4d55-b85e-e2bf1f666549/ENCFF448ZOJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking		
ENCFF838LKZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR667UWT	TF ChIP-seq	/human-donors/ENCDO845WKR/	UBERON:0001157	transverse colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-10-25	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF691KDJ/, /files/ENCFF530SZL/	546655	ENCODE Processing Pipeline	8ac75480b5eca2f9fc676cf8b13c52d7		https://www.encodeproject.org/files/ENCFF838LKZ/@@download/ENCFF838LKZ.bed.gz				released	s3://encode-public/2020/12/03/82d0bd2b-c108-4640-8483-5c7361a09342/ENCFF838LKZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/82d0bd2b-c108-4640-8483-5c7361a09342/ENCFF838LKZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF627GBZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR432GAO	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0002046	thyroid gland	tissue	Homo sapiens										POLR2A-human	DNA						2017-04-04	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF528FDJ/, /files/ENCFF959OZB/	614592	ENCODE Processing Pipeline	1fcb476f4be23f81f9d59284bbd7ed31		https://www.encodeproject.org/files/ENCFF627GBZ/@@download/ENCFF627GBZ.bed.gz				released	s3://encode-public/2020/12/04/59316bdd-5a9a-4be8-99c0-fdb60c9b8c3e/ENCFF627GBZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/59316bdd-5a9a-4be8-99c0-fdb60c9b8c3e/ENCFF627GBZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF254MJA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR877OYD	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										POLR2A-human	DNA						2017-01-30	ENCODE			450-650	1	1_1							/files/ENCFF235TMH/, /files/ENCFF356LFX/, /files/ENCFF814BKT/	133211	ENCODE Processing Pipeline	0943d942a7e0b1bb9b8712d95a3f5e10		https://www.encodeproject.org/files/ENCFF254MJA/@@download/ENCFF254MJA.bed.gz				released	s3://encode-public/2020/12/01/44409885-f5d5-4360-8e7d-203f9d44a58d/ENCFF254MJA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/44409885-f5d5-4360-8e7d-203f9d44a58d/ENCFF254MJA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF608MSL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR696HTM	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0000996	vagina	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-20	ENCODE			450-650	2	2_1							/files/ENCFF356LFX/, /files/ENCFF938ZDQ/, /files/ENCFF726FTL/	20741	ENCODE Processing Pipeline	d52ba25c1806d53719ee4792bd9e6d61		https://www.encodeproject.org/files/ENCFF608MSL/@@download/ENCFF608MSL.bed.gz				released	s3://encode-public/2020/12/02/c4fb4dd3-811f-46bd-b43f-6b0a20cea8be/ENCFF608MSL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/c4fb4dd3-811f-46bd-b43f-6b0a20cea8be/ENCFF608MSL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF536KQX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR472VBD	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-10-25	ENCODE			450-650	1	1_1							/files/ENCFF709SCI/, /files/ENCFF691KWE/, /files/ENCFF356LFX/	225795	ENCODE Processing Pipeline	a8237aa02c8c21dbbce7c9f9edfe4c2c		https://www.encodeproject.org/files/ENCFF536KQX/@@download/ENCFF536KQX.bed.gz				released	s3://encode-public/2020/12/04/baba3bd9-3ee3-4b51-b164-4d73bcc502f0/ENCFF536KQX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/baba3bd9-3ee3-4b51-b164-4d73bcc502f0/ENCFF536KQX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF229KAY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BQB	TF ChIP-seq	/human-donors/ENCDO930BXC/, /human-donors/ENCDO560UMK/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens										POLR2A-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF546FLZ/, /files/ENCFF356LFX/, /files/ENCFF603AIR/, /files/ENCFF088BAR/	523765	ENCODE Processing Pipeline	67a3e27e0ce9db96f296e1801d284202		https://www.encodeproject.org/files/ENCFF229KAY/@@download/ENCFF229KAY.bed.gz				released	s3://encode-public/2020/12/28/0c9fd57e-81b7-4175-b44c-3588d91b713e/ENCFF229KAY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/28/0c9fd57e-81b7-4175-b44c-3588d91b713e/ENCFF229KAY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, control low read depth, mild to moderate bottlenecking		
ENCFF745RUH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BGO	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										POLR2A-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF390YVA/, /files/ENCFF311UCL/, /files/ENCFF847IEB/, /files/ENCFF356LFX/	658129	ENCODE Processing Pipeline	b2d94c936eb0c313f67a75c0d7a1b17d		https://www.encodeproject.org/files/ENCFF745RUH/@@download/ENCFF745RUH.bed.gz				released	s3://encode-public/2020/12/26/5184c5ff-10a0-4fd4-88d3-44c5784794b9/ENCFF745RUH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/5184c5ff-10a0-4fd4-88d3-44c5784794b9/ENCFF745RUH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length		
ENCFF842JME	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR031TFS	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2016-09-27	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF822ODT/, /files/ENCFF267TTN/, /files/ENCFF201SIE/, /files/ENCFF356LFX/, /files/ENCFF936FZX/	450186	ENCODE Processing Pipeline	ce4ee67d953521558e8ebfbcf6de260e		https://www.encodeproject.org/files/ENCFF842JME/@@download/ENCFF842JME.bed.gz				released	s3://encode-public/2020/11/29/aa68719f-db48-466c-b518-f0858a977fde/ENCFF842JME.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/29/aa68719f-db48-466c-b518-f0858a977fde/ENCFF842JME.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking		
ENCFF354VWZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EEM	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF845YGC/, /files/ENCFF356LFX/, /files/ENCFF835GBL/, /files/ENCFF772ZHK/	547143	ENCODE Processing Pipeline	e5f905c7e4d6115d7ee5589a5df9fd2c		https://www.encodeproject.org/files/ENCFF354VWZ/@@download/ENCFF354VWZ.bed.gz				released	s3://encode-public/2020/12/26/c0857e1d-554d-4d63-be5b-45b8d727d6f0/ENCFF354VWZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/c0857e1d-554d-4d63-be5b-45b8d727d6f0/ENCFF354VWZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length		
ENCFF469KDX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR322JEO	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-12-08	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF694ZUH/, /files/ENCFF074JCH/	76949	ENCODE Processing Pipeline	cacb783eb129820c6b612e5e29b74e43		https://www.encodeproject.org/files/ENCFF469KDX/@@download/ENCFF469KDX.bed.gz				released	s3://encode-public/2020/12/30/0230f46b-5e0e-4e95-ae49-1893c95c17e4/ENCFF469KDX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/30/0230f46b-5e0e-4e95-ae49-1893c95c17e4/ENCFF469KDX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF993GPP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR132XRW	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001157	transverse colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-10-25	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF914OWR/, /files/ENCFF134SSN/	324780	ENCODE Processing Pipeline	ac93adf74fb29a44949f521ef4eafb55		https://www.encodeproject.org/files/ENCFF993GPP/@@download/ENCFF993GPP.bed.gz				released	s3://encode-public/2020/11/28/ae3a623a-7aaa-408c-8a56-cf09f8fd7a59/ENCFF993GPP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/ae3a623a-7aaa-408c-8a56-cf09f8fd7a59/ENCFF993GPP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF538YRS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR299CAV	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0008367	breast epithelium	tissue	Homo sapiens										POLR2A-human	DNA						2016-10-25	ENCODE			450-650	1	1_1							/files/ENCFF876AVR/, /files/ENCFF356LFX/, /files/ENCFF477MAO/	157289	ENCODE Processing Pipeline	57f56d5581a79298d831010d4fdf275a		https://www.encodeproject.org/files/ENCFF538YRS/@@download/ENCFF538YRS.bed.gz				released	s3://encode-public/2020/12/30/92683921-a5ed-4660-9756-ca6ca872f792/ENCFF538YRS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/30/92683921-a5ed-4660-9756-ca6ca872f792/ENCFF538YRS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF064ASM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR415MOW	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0001114	right lobe of liver	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-14	ENCODE			450-650	1	1_1							/files/ENCFF853IND/, /files/ENCFF356CDT/, /files/ENCFF356LFX/	552505	ENCODE Processing Pipeline	44d698eb6da1737ccd39b9f06f9cc3c2		https://www.encodeproject.org/files/ENCFF064ASM/@@download/ENCFF064ASM.bed.gz				released	s3://encode-public/2020/12/04/9b21a30d-8ff9-409a-849d-7a81d428a5c1/ENCFF064ASM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/9b21a30d-8ff9-409a-849d-7a81d428a5c1/ENCFF064ASM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF750UAQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR724FCJ	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-10-25	ENCODE			450-650	1	1_1							/files/ENCFF815HLH/, /files/ENCFF356LFX/, /files/ENCFF034WPR/	313521	ENCODE Processing Pipeline	93a30a6f00140f35bd3890bcdabdf3a7		https://www.encodeproject.org/files/ENCFF750UAQ/@@download/ENCFF750UAQ.bed.gz				released	s3://encode-public/2020/12/02/3796321b-1c8d-40a5-8882-7421589ef6db/ENCFF750UAQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/3796321b-1c8d-40a5-8882-7421589ef6db/ENCFF750UAQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF657NRR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR999QVR	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0000995	uterus	tissue	Homo sapiens										POLR2A-human	DNA						2016-11-07	ENCODE			450-650	1	1_1							/files/ENCFF522FBF/, /files/ENCFF356LFX/, /files/ENCFF423OAN/	254259	ENCODE Processing Pipeline	20d98e2bf0b165e97a11cd7acc60854d		https://www.encodeproject.org/files/ENCFF657NRR/@@download/ENCFF657NRR.bed.gz				released	s3://encode-public/2020/11/30/f9d8557c-f4cf-4107-bfbc-6a8530fed155/ENCFF657NRR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/30/f9d8557c-f4cf-4107-bfbc-6a8530fed155/ENCFF657NRR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF039TJY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR414SWG	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0011907	gastrocnemius medialis	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-14	ENCODE			450-650	1	1_1							/files/ENCFF527MWU/, /files/ENCFF356LFX/, /files/ENCFF711NMI/	559397	ENCODE Processing Pipeline	5e24dbe0e09c506864cc13f2d877e788		https://www.encodeproject.org/files/ENCFF039TJY/@@download/ENCFF039TJY.bed.gz				released	s3://encode-public/2020/12/04/62e86962-e814-4588-9c80-1c9f7a11faea/ENCFF039TJY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/62e86962-e814-4588-9c80-1c9f7a11faea/ENCFF039TJY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF411PMA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR414TPL	TF ChIP-seq	/human-donors/ENCDO845WKR/	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										POLR2A-human	DNA						2017-05-17	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF908NZZ/, /files/ENCFF138DYB/	271579	ENCODE Processing Pipeline	5053a9b85721df4ff092bd6edbe279b1		https://www.encodeproject.org/files/ENCFF411PMA/@@download/ENCFF411PMA.bed.gz				released	s3://encode-public/2020/11/27/6172d78f-de43-4381-b605-b9cdb0e7eb57/ENCFF411PMA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/27/6172d78f-de43-4381-b605-b9cdb0e7eb57/ENCFF411PMA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF061DKX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR431EHE	TF ChIP-seq	/human-donors/ENCDO845WKR/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-10-25	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF146YBX/, /files/ENCFF032DRN/	199415	ENCODE Processing Pipeline	41222a25b01e7913fb8d6c09e01da9a9		https://www.encodeproject.org/files/ENCFF061DKX/@@download/ENCFF061DKX.bed.gz				released	s3://encode-public/2020/11/27/54f67958-c6e9-4da5-8f5a-a54a18cd198d/ENCFF061DKX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/27/54f67958-c6e9-4da5-8f5a-a54a18cd198d/ENCFF061DKX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF535TAL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BGD	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2A-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF501USI/, /files/ENCFF002PKP/, /files/ENCFF886CYK/, /files/ENCFF768KPY/	855704	ENCODE Processing Pipeline	765be426799cb183e703aa6d6eb3098c		https://www.encodeproject.org/files/ENCFF535TAL/@@download/ENCFF535TAL.bed.gz				released	s3://encode-public/2020/12/26/aad60488-1fdc-4708-be3e-2b96798e7a7c/ENCFF535TAL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/aad60488-1fdc-4708-be3e-2b96798e7a7c/ENCFF535TAL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, mild to moderate bottlenecking		
ENCFF872EBX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR156UQO	TF ChIP-seq	/human-donors/ENCDO845WKR/	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-20	ENCODE			450-650	1	1_1							/files/ENCFF887LJV/, /files/ENCFF356LFX/, /files/ENCFF787LCD/	260443	ENCODE Processing Pipeline	13c7e9eb590996fd9dad5a6fe9ba316a		https://www.encodeproject.org/files/ENCFF872EBX/@@download/ENCFF872EBX.bed.gz				released	s3://encode-public/2020/11/28/98befccd-6369-4598-b4a1-55468285467b/ENCFF872EBX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/98befccd-6369-4598-b4a1-55468285467b/ENCFF872EBX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF900JDD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR517FVL	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001150	body of pancreas	tissue	Homo sapiens										POLR2A-human	DNA						2016-11-07	ENCODE			450-650	1	1_1							/files/ENCFF279GBB/, /files/ENCFF541JOE/, /files/ENCFF356LFX/	652009	ENCODE Processing Pipeline	bbbd73f4d35736641ea39a41e0cf4cfa		https://www.encodeproject.org/files/ENCFF900JDD/@@download/ENCFF900JDD.bed.gz				released	s3://encode-public/2020/12/04/490cf63d-498d-44b6-8e2f-cbbe0314191b/ENCFF900JDD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/490cf63d-498d-44b6-8e2f-cbbe0314191b/ENCFF900JDD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF653SLQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR699ZGH	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0002084	heart left ventricle	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-14	ENCODE			450-650	1	1_1							/files/ENCFF454JUD/, /files/ENCFF356LFX/, /files/ENCFF146DAA/	65333	ENCODE Processing Pipeline	8038e1937dae8b7d7342dfe617fc0e3e		https://www.encodeproject.org/files/ENCFF653SLQ/@@download/ENCFF653SLQ.bed.gz				released	s3://encode-public/2020/12/04/6d2bf391-0758-4f4f-938d-01d2a4a456fe/ENCFF653SLQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/6d2bf391-0758-4f4f-938d-01d2a4a456fe/ENCFF653SLQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
